TV_Budget,Online_Video_Budget,Radio_Budget,Sales,Region_North,Region_South,Region_West
197.85,179.15,74.08,744.0,0,0,0
107.19,93.54,71.75,438.14,0,0,1
203.31,180.09,73.71,748.32,1,0,0
94.73,85.83,82.32,424.14,0,0,1
235.28,210.63,71.74,837.89,0,0,0
117.67,110.37,18.48,430.27,0,0,0
241.09,212.7,93.51,882.78,1,0,0
97.06,86.63,43.2,378.62,1,0,0
292.57,255.05,97.06,1056.33,0,0,0
177.53,153.44,69.77,676.31,0,0,0
138.26,116.48,22.39,478.67,0,1,0
249.49,220.09,15.99,797.23,0,0,0
213.2,187.18,84.19,809.33,0,0,0
227.88,205.4,29.69,744.91,0,0,1
233.17,218.94,96.59,868.15,0,0,0
151.91,135.99,94.23,614.4,1,0,0
256.21,229.06,60.47,877.27,0,0,0
249.15,217.51,58.23,848.92,0,0,1
180.38833684210525,159.63,22.24,571.85,0,1,0
256.7,221.6,51.76,849.45,0,0,1
94.34,88.39,23.99,352.49,0,0,0
77.88,65.16,54.77,333.55,0,1,0
225.02,194.63,13.98,707.48,0,0,1
271.75,245.99,18.74,867.68,0,1,0
114.71,105.63,83.79,490.48,0,0,0
77.53,68.66,87.5,383.67,0,1,0
216.99,195.55,71.52,783.93,0,1,0
158.19,136.17,99.7409,533.68,1,0,0
252.67,222.56,99.7409,919.5,1,0,0
207.08,190.54,43.55,706.49,0,0,1
175.64,151.36,72.51,668.28,0,0,0
143.79,123.22,67.63,536.93,0,0,1
90.6,79.49,88.08,436.71,0,1,0
69.27,62.11,46.38,301.47,0,1,0
162.34,135.07,57.6,611.18,0,1,0
180.38833684210525,244.54,81.37,970.84,1,0,0
180.38833684210525,131.37,92.98,595.74,0,1,0
90.07,81.92,43.28,354.0,1,0,0
167.49,148.56,38.77,586.21,0,1,0
260.01,230.74,37.64,873.19,0,1,0
272.75,245.85,82.22,954.36,0,0,1
168.4,155.41,92.12,659.63,0,1,0
145.61,126.16,19.85,474.99,0,0,1
119.47,110.24,72.23,494.53,0,0,0
158.81,143.41,62.73,586.0,1,0,0
120.74,116.44,89.27,519.67,1,0,0
118.87,115.51,64.85,455.32,1,0,0
245.25,215.41,98.91,889.42,1,0,0
107.92,91.25,55.31,451.09,0,0,0
264.53,242.45,44.7,889.73,0,0,1
62.67,52.36,26.69,248.98,0,0,0
81.25,66.52,17.53,294.98,0,1,0
253.16,227.48,66.09,871.93,0,0,1
98.29,85.01,86.05,436.1,0,0,1
180.52,151.78,73.42,696.13,0,0,0
232.14,212.25,37.43,784.79,1,0,0
214.28,184.88,11.98,690.91,0,1,0
97.23,96.25,16.99,340.13,0,1,0
244.13,225.26,26.97,783.82,0,1,0
277.52,250.79,62.08,953.72,0,1,0
252.54,229.18,49.22,857.28,0,0,0
120.4,106.1,97.81,520.74,0,0,1
192.37,168.94,79.71,733.3,0,1,0
215.39,202.64,27.32,702.98,0,0,1
180.38833684210525,216.57,76.76,851.92,0,0,1
55.3,53.73,45.65,277.48,0,1,0
194.47,170.91,33.02,636.33,0,0,1
229.48,206.96,50.99,776.24,0,1,0
193.75,176.85,75.06,712.56,0,1,0
198.8,176.98,12.31,665.57,0,1,0
180.38833684210525,255.95,43.86,939.51,0,1,0
188.25,176.46,77.81,718.14,0,0,0
128.56,113.63,63.42,522.42,0,1,0
266.01,243.28,88.9,942.49,0,0,0
141.65,129.74,85.56,563.98,0,0,1
73.31,68.91,73.08,371.71,0,1,0
164.25,140.85,49.7,592.49,0,0,0
232.52,203.57,18.56,739.25,0,0,1
232.05,209.38,33.15,771.0,1,0,0
63.85,51.64,67.48,327.96,0,1,0
270.3,249.57,14.99,867.28,0,1,0
291.74,263.73,74.76,1032.82,0,1,0
